date,usd_krw,usd_krw_change_rate,source
2008-10-16,1369.5,0.10666666666666669,existing_project_raw_oil_project_csv
2008-10-17,1333.3,-0.02643300474625776,existing_project_raw_oil_project_csv
2008-10-18,1333.3,0.0,existing_project_raw_oil_project_csv
2008-10-19,1333.3,0.0,existing_project_raw_oil_project_csv
2008-10-20,1315.0,-0.013725343133578316,existing_project_raw_oil_project_csv
2008-10-21,1320.1,0.003878326996197723,existing_project_raw_oil_project_csv
2008-10-22,1418.5,0.07453980759033407,existing_project_raw_oil_project_csv
2008-10-23,1408.7,-0.006908706379978868,existing_project_raw_oil_project_csv
2008-10-24,1430.8,0.015688223184496364,existing_project_raw_oil_project_csv
2008-10-25,1430.8,0.0,existing_project_raw_oil_project_csv
2008-10-26,1430.8,0.0,existing_project_raw_oil_project_csv
2008-10-27,1441.7,0.007618115739446596,existing_project_raw_oil_project_csv
2008-10-28,1467.7,0.0180342651036971,existing_project_raw_oil_project_csv
2008-10-29,1426.9,-0.02779859644341487,existing_project_raw_oil_project_csv
2008-10-30,1250.18,-0.12384890321676367,existing_project_raw_oil_project_csv
2008-10-31,1277.5,0.021852853189140653,existing_project_raw_oil_project_csv
2008-11-01,1462.4000244140625,0.14473583124388445,existing_project_raw_oil_project_csv
2008-11-02,1462.4000244140625,0.0,existing_project_raw_oil_project_csv
2008-11-03,1262.0,-0.13703502534770295,existing_project_raw_oil_project_csv
2008-11-04,1287.9,0.02052297939778147,existing_project_raw_oil_project_csv
2008-11-05,1266.3,-0.016771488469601747,existing_project_raw_oil_project_csv
2008-11-06,1330.8,0.05093579720445396,existing_project_raw_oil_project_csv
2008-11-07,1310.0,-0.01562969642320411,existing_project_raw_oil_project_csv
2008-11-08,1310.0,0.0,existing_project_raw_oil_project_csv
2008-11-09,1310.0,0.0,existing_project_raw_oil_project_csv
2008-11-10,1326.18,0.012351145038167921,existing_project_raw_oil_project_csv
2008-11-11,1326.18,0.0,existing_project_raw_oil_project_csv
2008-11-12,1354.5,0.021354567253313972,existing_project_raw_oil_project_csv
2008-11-13,1392.5,0.028054632705795557,existing_project_raw_oil_project_csv
2008-11-14,1399.3,0.004883303411131079,existing_project_raw_oil_project_csv
2008-11-15,1399.3,0.0,existing_project_raw_oil_project_csv
2008-11-16,1399.3,0.0,existing_project_raw_oil_project_csv
2008-11-17,1410.0,0.0076466804830988,existing_project_raw_oil_project_csv
2008-11-18,1447.4,0.02652482269503542,existing_project_raw_oil_project_csv
2008-11-19,1445.9,-0.0010363410252867133,existing_project_raw_oil_project_csv
2008-11-20,1496.0,0.03464969914931859,existing_project_raw_oil_project_csv
2008-11-21,1493.3,-0.0018048128342246228,existing_project_raw_oil_project_csv
2008-11-22,1493.3,0.0,existing_project_raw_oil_project_csv
2008-11-23,1493.3,0.0,existing_project_raw_oil_project_csv
2008-11-24,1507.9,0.009777003950981245,existing_project_raw_oil_project_csv
2008-11-25,1501.4,-0.004310630678426963,existing_project_raw_oil_project_csv
2008-11-26,1477.3,-0.016051685093912416,existing_project_raw_oil_project_csv
2008-11-27,1477.3,0.0,existing_project_raw_oil_project_csv
2008-11-28,1468.0,-0.006295268395045017,existing_project_raw_oil_project_csv
2008-11-29,1468.0,0.0,existing_project_raw_oil_project_csv
2008-11-30,1468.0,0.0,existing_project_raw_oil_project_csv
2008-12-01,1242.199951171875,-0.15381474715812327,existing_project_raw_oil_project_csv
2008-12-02,1463.5,0.17815171270885455,existing_project_raw_oil_project_csv
2008-12-03,1467.8,0.0029381619405535186,existing_project_raw_oil_project_csv
2008-12-04,1479.0,0.00763046736612627,existing_project_raw_oil_project_csv
2008-12-05,1475.6,-0.0022988505747126853,existing_project_raw_oil_project_csv
2008-12-06,1475.6,0.0,existing_project_raw_oil_project_csv
2008-12-07,1475.6,0.0,existing_project_raw_oil_project_csv
2008-12-08,1445.0,-0.020737327188940058,existing_project_raw_oil_project_csv
2008-12-09,1439.0,-0.0041522491349480495,existing_project_raw_oil_project_csv
2008-12-10,1393.0,-0.03196664350243228,existing_project_raw_oil_project_csv
2008-12-11,1354.5,-0.027638190954773822,existing_project_raw_oil_project_csv
2008-12-12,1369.0,0.010705057216685132,existing_project_raw_oil_project_csv
2008-12-13,1369.0,0.0,existing_project_raw_oil_project_csv
2008-12-14,1369.0,0.0,existing_project_raw_oil_project_csv
2008-12-15,1360.9,-0.0059167275383490425,existing_project_raw_oil_project_csv
2008-12-16,1347.4,-0.009919905944595464,existing_project_raw_oil_project_csv
2008-12-17,1324.0,-0.017366780466082865,existing_project_raw_oil_project_csv
2008-12-18,1285.0,-0.02945619335347427,existing_project_raw_oil_project_csv
2008-12-19,1287.9,0.0022568093385215704,existing_project_raw_oil_project_csv
2008-12-20,1287.9,0.0,existing_project_raw_oil_project_csv
2008-12-21,1287.9,0.0,existing_project_raw_oil_project_csv
2008-12-22,1308.0,0.015606801770323697,existing_project_raw_oil_project_csv
2008-12-23,1331.0,0.01758409785932713,existing_project_raw_oil_project_csv
2008-12-24,1304.3,-0.020060105184072197,existing_project_raw_oil_project_csv
2008-12-25,1304.3,0.0,existing_project_raw_oil_project_csv
2008-12-26,1298.9,-0.00414015180556615,existing_project_raw_oil_project_csv
2008-12-27,1298.9,0.0,existing_project_raw_oil_project_csv
2008-12-28,1298.9,0.0,existing_project_raw_oil_project_csv
2008-12-29,1262.0,-0.028408653476018286,existing_project_raw_oil_project_csv
2008-12-30,1257.4,-0.003645007923930188,existing_project_raw_oil_project_csv
2008-12-31,1262.0,0.0036583426117384743,existing_project_raw_oil_project_csv
2009-01-01,1356.800048828125,0.07511889764510693,existing_project_raw_oil_project_csv
2009-01-02,1318.3,-0.02837562458917786,existing_project_raw_oil_project_csv
2009-01-03,1318.3,0.0,existing_project_raw_oil_project_csv
2009-01-04,1318.3,0.0,existing_project_raw_oil_project_csv
2009-01-05,1313.5,-0.0036410528711218193,existing_project_raw_oil_project_csv
2009-01-06,1307.0,-0.00494861058241336,existing_project_raw_oil_project_csv
2009-01-07,1292.3,-0.011247130833970997,existing_project_raw_oil_project_csv
2009-01-08,1328.25,0.027818617967964032,existing_project_raw_oil_project_csv
2009-01-09,1347.5,0.01449275362318847,existing_project_raw_oil_project_csv
2009-01-10,1347.5,0.0,existing_project_raw_oil_project_csv
2009-01-11,1347.5,0.0,existing_project_raw_oil_project_csv
2009-01-12,1349.0,0.001113172541743923,existing_project_raw_oil_project_csv
2009-01-13,1353.0,0.002965159377316562,existing_project_raw_oil_project_csv
2009-01-14,1353.0,0.0,existing_project_raw_oil_project_csv
2009-01-15,1391.5,0.028455284552845628,existing_project_raw_oil_project_csv
2009-01-16,1351.5,-0.028745957599712546,existing_project_raw_oil_project_csv
2009-01-17,1351.5,0.0,existing_project_raw_oil_project_csv
2009-01-18,1351.5,0.0,existing_project_raw_oil_project_csv
2009-01-19,1351.5,0.0,existing_project_raw_oil_project_csv
2009-01-20,1351.5,0.0,existing_project_raw_oil_project_csv
2009-01-21,1368.0,0.01220865704772467,existing_project_raw_oil_project_csv
2009-01-22,1374.0,0.004385964912280604,existing_project_raw_oil_project_csv
2009-01-23,1390.8,0.012227074235807933,existing_project_raw_oil_project_csv
2009-01-24,1390.8,0.0,existing_project_raw_oil_project_csv
2009-01-25,1390.8,0.0,existing_project_raw_oil_project_csv
2009-01-26,1390.8,0.0,existing_project_raw_oil_project_csv
2009-01-27,1390.0,-0.0005752085130860118,existing_project_raw_oil_project_csv
2009-01-28,1369.0,-0.015107913669064721,existing_project_raw_oil_project_csv
2009-01-29,1369.0,0.0,existing_project_raw_oil_project_csv
2009-01-30,1380.0,0.008035062089116085,existing_project_raw_oil_project_csv
2009-01-31,1380.0,0.0,existing_project_raw_oil_project_csv
2009-02-01,1530.300048828125,0.10891307886096024,existing_project_raw_oil_project_csv
2009-02-02,1390.0,-0.0916813986483005,existing_project_raw_oil_project_csv
2009-02-03,1394.5,0.003237410071942337,existing_project_raw_oil_project_csv
2009-02-04,1378.4,-0.011545356758694836,existing_project_raw_oil_project_csv
2009-02-05,1384.2,0.004207777132907653,existing_project_raw_oil_project_csv
2009-02-06,1368.7,-0.011197803785580107,existing_project_raw_oil_project_csv
2009-02-07,1368.7,0.0,existing_project_raw_oil_project_csv
2009-02-08,1368.7,0.0,existing_project_raw_oil_project_csv
2009-02-09,1374.0,0.003872287572148636,existing_project_raw_oil_project_csv
2009-02-10,1388.0,0.010189228529839944,existing_project_raw_oil_project_csv
2009-02-11,1390.0,0.0014409221902016434,existing_project_raw_oil_project_csv
2009-02-12,1394.0,0.0028776978417266452,existing_project_raw_oil_project_csv
2009-02-13,1403.5,0.006814921090387394,existing_project_raw_oil_project_csv
2009-02-14,1403.5,0.0,existing_project_raw_oil_project_csv
2009-02-15,1403.5,0.0,existing_project_raw_oil_project_csv
2009-02-16,1403.5,0.0,existing_project_raw_oil_project_csv
2009-02-17,1454.8,0.036551478446740227,existing_project_raw_oil_project_csv
2009-02-18,1459.0,0.0028869947759142534,existing_project_raw_oil_project_csv
2009-02-19,1480.7,0.014873200822481225,existing_project_raw_oil_project_csv
2009-02-20,1519.5,0.02620382251637743,existing_project_raw_oil_project_csv
2009-02-21,1519.5,0.0,existing_project_raw_oil_project_csv
2009-02-22,1519.5,0.0,existing_project_raw_oil_project_csv
2009-02-23,1495.5,-0.015794669299111552,existing_project_raw_oil_project_csv
2009-02-24,1516.0,0.013707790036777023,existing_project_raw_oil_project_csv
2009-02-25,1515.7,-0.00019788918205798645,existing_project_raw_oil_project_csv
2009-02-26,1512.8,-0.001913307382727547,existing_project_raw_oil_project_csv
2009-02-27,1532.8,0.01322051824431525,existing_project_raw_oil_project_csv
2009-02-28,1532.8,0.0,existing_project_raw_oil_project_csv
2009-03-01,1375.0999755859375,-0.10288362761877767,existing_project_raw_oil_project_csv
2009-03-02,1570.1,0.14180788879075634,existing_project_raw_oil_project_csv
2009-03-03,1551.2,-0.012037449843958936,existing_project_raw_oil_project_csv
2009-03-04,1550.95,-0.00016116554925216242,existing_project_raw_oil_project_csv
2009-03-05,1567.1,0.010412972694155087,existing_project_raw_oil_project_csv
2009-03-06,1549.6,-0.011167123986982275,existing_project_raw_oil_project_csv
2009-03-07,1549.6,0.0,existing_project_raw_oil_project_csv
2009-03-08,1549.6,0.0,existing_project_raw_oil_project_csv
2009-03-09,1541.0,-0.005549819308208526,existing_project_raw_oil_project_csv
2009-03-10,1501.0,-0.02595717066839709,existing_project_raw_oil_project_csv
2009-03-11,1466.0,-0.023317788141239193,existing_project_raw_oil_project_csv
2009-03-12,1494.75,0.0196111869031379,existing_project_raw_oil_project_csv
2009-03-13,1481.2,-0.00906506104699778,existing_project_raw_oil_project_csv
2009-03-14,1481.2,0.0,existing_project_raw_oil_project_csv
2009-03-15,1481.2,0.0,existing_project_raw_oil_project_csv
2009-03-16,1435.0,-0.031190926275992514,existing_project_raw_oil_project_csv
2009-03-17,1415.75,-0.013414634146341475,existing_project_raw_oil_project_csv
2009-03-18,1409.0,-0.0047677909235387395,existing_project_raw_oil_project_csv
2009-03-19,1388.5,-0.014549325762952425,existing_project_raw_oil_project_csv
2009-03-20,1396.5,0.005761613251710429,existing_project_raw_oil_project_csv
2009-03-21,1396.5,0.0,existing_project_raw_oil_project_csv
2009-03-22,1396.5,0.0,existing_project_raw_oil_project_csv
2009-03-23,1382.9,-0.009738632295023253,existing_project_raw_oil_project_csv
2009-03-24,1378.9,-0.0028924723407331987,existing_project_raw_oil_project_csv
2009-03-25,1362.2,-0.012111103053158323,existing_project_raw_oil_project_csv
2009-03-26,1334.8,-0.02011452062839536,existing_project_raw_oil_project_csv
2009-03-27,1350.9,0.012061732094695854,existing_project_raw_oil_project_csv
2009-03-28,1350.9,0.0,existing_project_raw_oil_project_csv
2009-03-29,1350.9,0.0,existing_project_raw_oil_project_csv
2009-03-30,1391.9,0.03035013694573996,existing_project_raw_oil_project_csv
2009-03-31,1372.3,-0.014081471370069765,existing_project_raw_oil_project_csv
2009-04-01,1278.0999755859375,-0.06864390032358991,existing_project_raw_oil_project_csv
