date,diesel_price_krw
2010-12-01,1532.49
2010-12-02,1533.05
2010-12-03,1535.05
2010-12-04,1534.6
2010-12-05,1534.77
2010-12-06,1535.81
2010-12-07,1541.15
2010-12-08,1546.0
2010-12-09,1550.03
2010-12-10,1554.26
2010-12-11,1557.35
2010-12-12,1559.01
2010-12-13,1561.62
2010-12-14,1566.56
2010-12-15,1570.26
2010-12-16,1574.01
2010-12-17,1576.99
2010-12-18,1579.03
2010-12-19,1580.22
2010-12-20,1582.27
2010-12-21,1584.84
2010-12-22,1587.61
2010-12-23,1590.64
2010-12-24,1593.37
2010-12-25,1595.33
2010-12-26,1596.45
2010-12-27,1598.55
2010-12-28,1602.39
2010-12-29,1605.08
2010-12-30,1607.42
2010-12-31,1609.34
2011-01-01,1611.14
2011-01-02,1611.79
2011-01-03,1612.85
2011-01-04,1614.02
2011-01-05,1615.0
2011-01-06,1615.81
2011-01-07,1616.9
2011-01-08,1617.52
2011-01-09,1617.75
2011-01-10,1618.36
2011-01-11,1618.7
2011-01-12,1619.1
2011-01-13,1619.62
2011-01-14,1620.19
2011-01-15,1620.32
2011-01-16,1620.53
2011-01-17,1621.16
2011-01-18,1622.69
2011-01-19,1623.53
2011-01-20,1624.21
2011-01-21,1624.78
2011-01-22,1625.2
2011-01-23,1625.21
2011-01-24,1625.81
2011-01-25,1627.44
2011-01-26,1628.4
2011-01-27,1629.49
2011-01-28,1630.53
2011-01-29,1631.24
2011-01-30,1631.66
2011-01-31,1632.73
2011-02-01,1634.49
2011-02-02,1635.33
2011-02-03,1635.65
2011-02-04,1635.93
2011-02-05,1636.18
2011-02-06,1636.35
2011-02-07,1637.18
2011-02-08,1640.42
2011-02-09,1643.12
2011-02-10,1645.57
2011-02-11,1647.39
2011-02-12,1648.49
2011-02-13,1649.0
2011-02-14,1650.02
2011-02-15,1651.81
2011-02-16,1652.85
2011-02-17,1653.52
2011-02-18,1654.64
2011-02-19,1655.45
2011-02-20,1655.91
2011-02-21,1658.15
2011-02-22,1662.41
2011-02-23,1664.82
2011-02-24,1668.51
2011-02-25,1671.5
2011-02-26,1673.61
2011-02-27,1674.48
2011-02-28,1677.12
2011-03-01,1684.26
2011-03-02,1693.06
2011-03-03,1698.87
2011-03-04,1704.46
