date,lpg_price_krw
2011-08-24,1081.21
2011-08-25,1081.07
2011-08-26,1081.2
2011-08-27,1081.13
2011-08-28,1081.08
2011-08-29,1081.16
2011-08-30,1080.97
2011-08-31,1081.22
2011-09-01,1081.27
2011-09-02,1080.94
2011-09-03,1081.09
2011-09-04,1080.82
2011-09-05,1080.84
2011-09-06,1080.96
2011-09-07,1081.0
2011-09-08,1081.04
2011-09-09,1080.99
2011-09-10,1080.86
2011-09-11,1080.94
2011-09-12,1081.06
2011-09-13,1081.08
2011-09-14,1080.96
2011-09-15,1081.09
2011-09-16,1081.01
2011-09-17,1080.9
2011-09-18,1081.16
2011-09-19,1081.17
2011-09-20,1081.22
2011-09-21,1081.07
2011-09-22,1081.07
2011-09-23,1081.34
2011-09-24,1081.14
2011-09-25,1081.15
2011-09-26,1081.19
2011-09-27,1081.06
2011-09-28,1081.09
2011-09-29,1081.03
2011-09-30,1080.96
2011-10-01,1080.91
2011-10-02,1081.02
2011-10-03,1080.91
2011-10-04,1081.0
2011-10-05,1080.91
2011-10-06,1080.85
2011-10-07,1080.92
2011-10-08,1080.92
2011-10-09,1080.94
2011-10-10,1080.93
2011-10-11,1080.86
2011-10-12,1080.82
2011-10-13,1080.92
2011-10-14,1080.73
2011-10-15,1080.81
2011-10-16,1080.74
2011-10-17,1080.65
2011-10-18,1080.8
2011-10-19,1080.86
2011-10-20,1080.75
2011-10-21,1080.53
2011-10-22,1080.59
2011-10-23,1080.6
2011-10-24,1080.88
2011-10-25,1080.74
2011-10-26,1080.82
2011-10-27,1080.79
2011-10-28,1080.87
2011-10-29,1080.76
2011-10-30,1080.69
2011-10-31,1080.68
2011-11-01,1063.92
2011-11-02,1061.41
2011-11-03,1060.97
2011-11-04,1060.41
2011-11-05,1060.36
2011-11-06,1060.23
2011-11-07,1060.23
2011-11-08,1059.74
2011-11-09,1059.17
2011-11-10,1059.03
2011-11-11,1059.14
2011-11-12,1059.07
2011-11-13,1058.9
2011-11-14,1058.9
2011-11-15,1058.9
2011-11-16,1058.72
2011-11-17,1058.77
2011-11-18,1058.79
2011-11-19,1058.78
2011-11-20,1058.7
2011-11-21,1058.68
2011-11-22,1058.69
2011-11-23,1061.09
2011-11-24,1063.45
2011-11-25,1065.44
2011-11-26,1058.78
2011-11-27,1058.77
2011-11-28,1058.79
2011-11-29,1058.88
2011-11-30,1055.96
2011-12-01,1054.27
2011-12-02,1053.86
2011-12-03,1053.72
2011-12-04,1053.58
2011-12-05,1053.14
2011-12-06,1053.19
2011-12-07,1053.05
2011-12-08,1052.9
2011-12-09,1052.76
2011-12-10,1052.58
2011-12-11,1052.44
2011-12-12,1052.31
2011-12-13,1052.34
2011-12-14,1052.44
2011-12-15,1052.27
2011-12-16,1052.18
2011-12-17,1052.06
2011-12-18,1052.02
2011-12-19,1051.99
2011-12-20,1051.93
2011-12-21,1051.9
2011-12-22,1051.87
2011-12-23,1051.83
2011-12-24,1051.75
2011-12-25,1051.78
2011-12-26,1051.8
2011-12-27,1051.85
2011-12-28,1051.75
2011-12-29,1051.84
2011-12-30,1051.73
2011-12-31,1051.78
2012-01-01,1051.76
2012-01-02,1051.75
2012-01-03,1051.61
2012-01-04,1051.56
2012-01-05,1051.49
2012-01-06,1051.34
2012-01-07,1051.37
2012-01-08,1051.37
2012-01-09,1051.23
2012-01-10,1051.37
2012-01-11,1051.26
2012-01-12,1051.52
2012-01-13,1051.61
2012-01-14,1051.58
2012-01-15,1051.49
2012-01-16,1051.47
2012-01-17,1051.53
2012-01-18,1051.36
2012-01-19,1051.4
2012-01-20,1051.44
2012-01-21,1051.44
2012-01-22,1051.28
2012-01-23,1051.43
2012-01-24,1051.4
2012-01-25,1051.32
2012-01-26,1051.35
2012-01-27,1051.44
2012-01-28,1051.28
2012-01-29,1051.34
2012-01-30,1051.47
2012-01-31,1051.39
2012-02-01,1097.53
2012-02-02,1099.21
2012-02-03,1099.69
2012-02-04,1100.12
2012-02-05,1100.16
2012-02-06,1100.94
2012-02-07,1101.04
2012-02-08,1101.21
2012-02-09,1101.4
2012-02-10,1101.56
2012-02-11,1101.6
2012-02-12,1101.48
2012-02-13,1101.65
2012-02-14,1101.73
2012-02-15,1101.58
2012-02-16,1101.6
2012-02-17,1101.62
2012-02-18,1101.61
2012-02-19,1101.6
2012-02-20,1101.7
2012-02-21,1101.84
2012-02-22,1101.7
2012-02-23,1101.67
2012-02-24,1101.58
2012-02-25,1101.62
2012-02-26,1101.67
2012-02-27,1101.68
2012-02-28,1101.62
2012-02-29,1101.75
2012-03-01,1127.34
2012-03-02,1141.64
2012-03-03,1142.6
2012-03-04,1142.64
2012-03-05,1143.39
2012-03-06,1143.27
2012-03-07,1143.56
2012-03-08,1143.75
2012-03-09,1143.65
2012-03-10,1143.77
2012-03-11,1143.83
2012-03-12,1144.27
2012-03-13,1144.25
2012-03-14,1144.27
2012-03-15,1144.37
2012-03-16,1144.48
2012-03-17,1144.57
2012-03-18,1144.33
2012-03-19,1144.39
2012-03-20,1144.49
2012-03-21,1144.38
2012-03-22,1144.33
2012-03-23,1144.31
2012-03-24,1144.14
2012-03-25,1144.32
2012-03-26,1144.2
2012-03-27,1144.28
2012-03-28,1144.24
